Date,"YSlow Grade (%)","PageSpeed Grade (%)","Onload Time (s)","Total Size (bytes)","Total Requests","TTFB (ms)","HTML Size (bytes)","Redirect duration (ms)","Connection duration (ms)","Backend duration (ms)","DOM interactive (ms)","DOM content loaded (ms)","DOM content loaded duration (ms)","Onload (ms)","Onload duration (ms)","Fully loaded (ms)","First paint (ms)","RUM Speed Index","First contentful paint (ms)","Report slug"
"2019-06-23 22:55:09",46,30,10.0290,6950674,581,86,61093,53,26,7,2192,2192,43,10029,27,13241,601,737,1937,FSHsRB0u
"2019-06-25 12:58:14",48,32,8.4870,2593821,538,99,61327,65,27,7,1857,1857,35,8487,26,11251,837,1003,1881,cuFBhQpM
"2019-06-28 05:20:46",53,29,2.8710,2551530,558,128,60705,86,36,6,2264,2264,33,2871,146,21839,921,991,2294,Ccua0HHV
"2019-06-29 11:11:02",53,30,58.8380,25305151,536,464,61274,272,133,59,1229,1230,6,58838,7,71950,823,1767,2469,LwmfYrhF
"2019-06-29 11:37:22",48,30,38.3080,9593924,573,464,61306,273,132,59,2265,2266,9,38308,29,39552,884,1765,2747,axwkQbIg
"2019-07-02 08:58:20",53,34,2.4640,2280032,483,112,61280,77,28,7,1996,1996,33,2464,129,11403,631,1284,2063,dgJCdvvP
"2019-07-02 09:47:04",53,34,2.1290,2225811,456,79,61064,46,27,6,1630,1641,47,2129,118,8102,763,972,1537,IO8HGAQ1
"2019-07-06 18:36:39",53,35,2.4210,9165569,468,103,60824,67,30,6,1885,1886,30,2421,151,21535,937,1273,1882,LFqNcgim
"2019-07-07 04:59:38",48,29,9.0390,8894371,511,96,60696,60,29,7,1808,1809,43,9039,27,15737,827,843,1793,F5tb8KYb
"2019-07-07 05:39:16",48,29,11.5970,8879096,519,110,60818,69,34,7,2693,2693,44,11597,25,18417,777,1546,3003,4hGEgmut
"2019-07-07 12:21:34",53,32,2.2950,2768296,460,88,61458,55,27,6,1833,1833,15,2295,153,7871,801,1145,1671,4snpZ78j
"2019-07-10 17:34:55",53,32,2.4250,7994049,453,83,62117,50,27,6,1757,1758,22,2425,129,8639,771,794,1708,xD4PgKdO
"2019-07-14 10:01:36",53,29,3.1340,2453847,478,105,63152,73,27,5,2567,2568,58,3134,157,10944,792,1605,2215,Kr88P5DN
"2019-07-18 15:52:49",53,37,2.1590,3274695,450,86,61952,55,25,6,1719,1720,13,2159,125,8244,708,889,708,UBbB1Vy4
"2019-07-24 14:33:47",54,31,2.0890,1983925,463,101,60033,73,23,5,1076,1076,163,2089,73,9664,1060,1060,1060,1ULWrqNo
